year,country,countryn,gov_right,gov_cent,gov_left,govparty,gov_new,gov_gap,gov_type,gov_chan,elect,vturn,social1,social2,social3,social4,leftsoc1,leftsoc2,leftsoc3,comm1,comm2,comm3,comm4,agrarian,conserv1,conserv2,conserv3,conserv4,conserv5,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,ultrar1,ultrar2,protest1,protest2,protest3,protest4,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,leftall,centall,rightall,others,VAR00017,VAR00019,ssocial1,ssocial2,ssocial3,ssocial4,sleftso1,sleftso2,sleftso3,scomm1,scomm2,scomm3,scomm4,sagraria,sconser1,sconser2,sconser3,sconser4,sconser5,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,slibera1,slibera2,slibera3,slibera4,slibera5,slibera6,sultrar1,sultrar2,sprotes1,sprotes2,sprotes3,sprotes4,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sleftal,scental,srightal,sothers,VAR00018,VAR00020,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,var00001,var00002,lfirst1,lfirst2,lsec1,lsec2,leff1,leff2,lmin1,lmin2,lexe1,lexe2,ldis1,ldis2,lint1,lint2,lfed1,lfed2,lbic1,lbic2,lrid1,lrid2,ljud1,ljud2,lbank1,lbank2,lfirstp,lfirstpi,lfirstpb,var00003,var00008,instcons,plural,structur,integr,fed,pres,singmemd,strbic,referen,judrev,VAR00015,VAR00016,kaopen,openc,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,deficit,adjustdef,interest,VAR00013,VAR00014,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,st_unemp,var00005,var00004,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,VAR00027,VAR00028,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,var00007,var00006,fallow_pmp,mpleave_pmp,othfam_c_pmp,daycare_pmp,othfam_k_pmp,VAR00047,VAR00048,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,emprot,VAR00009,VAR00010,ilo_tot,pop,pop15_64,pop65,elderly
1960,Australia,1,100,0,0,1,0,0,2,0,,95.5,42.8,7.8,0,0,0,0,0,0,0,0,0,9.3,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1960,Australia,36.9,0,0,0,0,0,0,0,0,0,0,15.6,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,Australia,0,66.37,61.39,2.97,2.59,0.38,0.13,10.99,1960,Australia,-0.89,-0.74,1.7,1.71,2.25,2.21,78.5,83.3,6.1,4.64,8.37,9.62,2.76,2.62,5,5,4,4,4,4,3,3,0.42,0.42,,,,1960,Australia,3,4,4,,1,0,1,2,0,1,1960,Australia,,27.33,,21.58,,,3.77,,1.64,,,1960,Australia,4215,4163,4104,,,452,1597,2055,59,1.42,,1960,Australia,1145,603.28,725.11,176.6837,1682.8,1682.8,50.2,90,1960,Australia,5.5,,,,,,,,,,,,,1960,Australia,,,,,,1960,Australia,,,,,,,,,,,1960,Australia,22,10275,6296.5,874.9,8.5
1961,Australia,1,100,0,0,1,0,0,2,1,12/9/61,95.3,47.9,7.6,0,0,0,0,0,0,0,0,0,8.5,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1961,Australia,49.2,0,0,0,0,0,0,0,0,0,0,13.9,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,Australia,0,64.47,60.25,2.81,2.52,0.3,0.11,7.05,1961,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,Australia,3,4,4,,1,0,1,2,0,1,1961,Australia,,26.26,,21.16,-0.07,0.96,2.54,,1.52,,,1961,Australia,4286,4234,4116,,,450,1551,2115,118,2.79,,1961,Australia,815,300.36,606.81,147.4271,1667.2,1667.2,49.5,,1961,Australia,6.1,,,,,,,,,,,,,1961,Australia,,,,,,1961,Australia,,,,,,,,,,,1961,Australia,22,10508.2,6428.6,894.6,8.5
1962,Australia,1,100,0,0,1,0,0,2,0,,95.3,47.9,7.6,0,0,0,0,0,0,0,0,0,8.5,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1962,Australia,49.2,0,0,0,0,0,0,0,0,0,0,13.9,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,Australia,0,64.47,60.25,2.81,2.52,0.3,0.11,7.05,1962,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,Australia,3,4,4,,1,0,1,2,0,1,1962,Australia,,26.69,23.17,21.65,5.71,6.08,-0.18,,0.57,,,1962,Australia,4382,4330,4216,,,449,1604,2163,114,2.63,,1962,Australia,1183,353.85,508.76,120.6736,1716.4,1716.4,49.5,,1962,Australia,6,,,,,,,,,,,,,1962,Australia,,,,,,1962,Australia,,,,,,,,,,,1962,Australia,22,10700.5,6571.5,913.6,8.5
1963,Australia,1,100,0,0,1,0,0,2,1,11/30/63,95.7,45.5,7.4,0,0,0,0,0,0,0,0,0,8.9,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1963,Australia,41,0,0,0,0,0,0,0,0,0,0,16.4,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963,Australia,0,64.19,62.35,2.79,2.66,0.14,0.05,8.99,1963,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,Australia,3,4,4,,1,0,1,2,0,1,1963,Australia,,28.39,23.01,21.71,6.1,9.27,0.35,,0.83,,,1963,Australia,4484,4432,4338,,,449,1648,2241,94,2.12,,1963,Australia,1250,412.71,581.57,134.0641,1763,1763,49.2,,1963,Australia,5.9,,,,,,,,,,,,,1963,Australia,,,,,,1963,Australia,,,,,,,,,,,1963,Australia,23,10906.9,6710.9,933,8.6
1964,Australia,1,100,0,0,1,0,0,2,0,,95.7,45.5,7.4,0,0,0,0,0,0,0,0,0,8.9,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1964,Australia,41,0,0,0,0,0,0,0,0,0,0,16.4,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,Australia,0,64.19,62.35,2.79,2.66,0.14,0.05,8.99,1964,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,Australia,3,4,4,,1,0,1,2,0,1,1964,Australia,,28.23,22.88,22.25,6.28,9.75,2.47,,1.43,,,1964,Australia,4593,4541,4488,66.98,65.45,456,1725,2307,52,1.15,,1964,Australia,1334,545.63,911.36,203.066,1808.2,1808.2,48.2,,1964,Australia,5.7,,,,,,,,,,,,,1964,Australia,,,,,,1964,Australia,,,,,,,,,,,1964,Australia,23,11121.6,6857.3,948.1,8.5
1965,Australia,1,100,0,0,1,0,0,2,0,,95.7,45.5,7.4,0,0,0,0,0,0,0,0,0,8.9,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1965,Australia,41,0,0,0,0,0,0,0,0,0,0,16.4,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,Australia,0,64.19,62.35,2.79,2.66,0.14,0.05,8.99,1965,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,Australia,3,4,4,,1,0,1,2,0,1,1965,Australia,,27.66,24.9,23.51,4.97,7.54,3.79,,0.68,,,1965,Australia,4740,4683,4629,67.57,65.99,454,1775,2400,54,1.15,,1965,Australia,1346,475.04,815.87,176.2519,1862.3,1862.3,47.9,90,1965,Australia,5.8,,,,,,,,,,,,,1965,Australia,,,,,,1965,Australia,,,,,,,,,,,1965,Australia,23,11340.9,7014.6,966.3,8.5
1966,Australia,1,100,0,0,1,0,0,2,2,11/26/66,95.1,40,7.3,0,0,0,0,0,0,0,0,0,9.8,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1966,Australia,33.1,0,0,0,0,0,0,0,0,0,0,16.9,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1966,Australia,0.8,66.43,61.98,2.98,2.63,0.35,0.12,10.82,1966,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,Australia,3,4,4,,1,0,1,2,0,1,1966,Australia,,26.49,26.06,23.16,2.9,6.95,3.16,,-0.28,,,1966,Australia,4971.5,4902.5,4823.9,69.11,67.06,430,1793,2600.9,78.6,1.6,,1966,Australia,1273,394.85,732.08,151.7579,1868.7,1868.7,45.8,,1966,Australia,5.7,,,,,,,,,,,,,1966,Australia,,,,,,1966,Australia,,,,,,,,,,,1966,Australia,23,11599.5,7193.52,986.27,8.5
1967,Australia,1,100,0,0,1,0,0,2,1,,95.1,40,7.3,0,0,0,0,0,0,0,0,0,9.8,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1967,Australia,33.1,0,0,0,0,0,0,0,0,0,0,16.9,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1967,Australia,0.8,66.43,61.98,2.98,2.63,0.35,0.12,10.82,1967,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,Australia,3,4,4,,1,0,1,2,0,1,1967,Australia,,26.34,26.35,23.32,7.25,10.7,3.22,,-0.45,,,1967,Australia,5100.5,5022.5,4928,69.45,67.1,429,1828,2671,94.5,1.88,1.89,1967,Australia,1340,483.27,705.32,142.9799,1893.1,1893.1,45,,1967,Australia,5.6,,,,,,,,,,,,,1967,Australia,,,,,,1967,Australia,,,,,,,,,,,1967,Australia,23,11799.08,7344.23,999.6,8.5
1968,Australia,1,100,0,0,1,0,0,2,2,,95.1,40,7.3,0,0,0,0,0,0,0,0,0,9.8,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1968,Australia,33.1,0,0,0,0,0,0,0,0,0,0,16.9,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1968,Australia,0.8,66.43,61.98,2.98,2.63,0.35,0.12,10.82,1968,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,Australia,3,4,4,,1,0,1,2,0,1,1968,Australia,,25.06,26.52,24.03,5.3,9.19,2.65,,-0.04,,,1968,Australia,5222.1,5140.1,5046.2,69.55,67.21,440,1867,2739.2,93.8,1.82,1.83,1968,Australia,1713,720.32,1079.46,213.5008,1939.4,1939.4,44.8,,1968,Australia,5.1,,,,,,,,,,,,,1968,Australia,,,,,,1968,Australia,,,,,,,,,,,1968,Australia,23,12008.63,7508.21,1014.01,8.4
1969,Australia,1,100,0,0,1,0,0,2,1,10/25/69,95,47,6,0,0,0,0,0,0,0,0,0,8.6,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,1969,Australia,47.2,0,0,0,0,0,0,0,0,0,0,16,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,Australia,0,64.7,61.62,2.83,2.61,0.23,0.08,6.88,1969,Australia,,,,,,,,,,,,,,,,,,,,,,,,,-0.56,-0.96,0.03,1969,Australia,3,4,4,,1,0,1,2,0,1,1969,Australia,,26.06,25.05,24.3,6.29,12.33,3.04,,1.31,,5.84,1969,Australia,5367.7,5283.7,5187.6,69.8,67.46,415,1907,2865.6,96.1,1.82,1.83,1969,Australia,2014,1285.2,1958,377.7735,1979.7,1979.7,44.4,,1969,Australia,5.4,,,,,,,,,,,,,1969,Australia,,,,,,1969,Australia,,,,,,,,,,,1969,Australia,25,12263.01,7689.76,1026.69,8.4
